Year ending December,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",Rate,LGA_Code
2012,2 EASTERN,KNOX,6852,4406.260851671318,4.406260851671318,23670
2012,2 EASTERN,INDIGO,383,2482.0167195904346,2.4820167195904346,23350
2012,2 EASTERN,GREATER SHEPPARTON,4826,7712.098694408488,7.712098694408488,22830
2012,2 EASTERN,EAST GIPPSLAND,2667,6158.642189123658,6.158642189123658,22110
2012,2 EASTERN,BOROONDARA,5918,3511.332621336181,3.511332621336181,21110
2012,2 EASTERN,BENALLA,728,5257.076834199885,5.257076834199885,21010
2012,2 EASTERN,BAW BAW,2133,4797.678760206033,4.797678760206033,20830
2012,2 EASTERN,BASS COAST,1848,6002.143622722401,6.002143622722401,20740
2012,2 EASTERN,ALPINE,318,2615.1315789473683,2.615131578947368,20110
2011,2 EASTERN,YARRA RANGES,4782,3211.529808396183,3.211529808396183,27450
